"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.248	-14.6484375	-1.831054688	-103.7597656	-4.028320313	-0.1831054688	3.112792969	0	330.2819824	0.5065917969	0.2288818359	0.9674072266
0.25	-4.8828125	-4.8828125	-111.0839844	-2.563476563	-0.5493164063	3.662109375	0	330.2819824	0.390625	0.2288818359	0.9460449219
0.252	-7.32421875	-1.831054688	-113.5253906	-2.197265625	-0.3662109375	3.112792969	0	330.2819824	0.1525878906	0.05187988281	0.9216308594
0.254	-12.20703125	-1.831054688	-113.5253906	-1.46484375	-0.3662109375	2.563476563	0	330.2819824	0.009155273438	-0.04577636719	0.9185791016
0.256	-13.42773438	-0.6103515625	-113.5253906	-1.831054688	-0.3662109375	2.014160156	0	330.2819824	0.06713867188	-0.07019042969	0.9674072266
0.258	-10.98632813	1.220703125	-113.5253906	-2.746582031	-0.3662109375	1.46484375	0	330.2819824	0.2899169922	-0.06408691406	1.043701172
0.26	-12.20703125	8.544921875	-107.421875	-4.211425781	-0.1831054688	0.732421875	0	330.2819824	0.439453125	-0.08239746094	1.04675293
0.262	-25.63476563	8.544921875	-93.99414063	-5.493164063	0	-0.5493164063	0	330.2819824	0.4486083984	0.03051757813	0.9185791016
0.264	-43.9453125	9.155273438	-76.90429688	-6.042480469	0	-1.647949219	0	330.2819824	0.3387451172	0.1861572266	0.7171630859
0.266	-43.9453125	19.53125	-72.02148438	-6.225585938	0	-2.014160156	0	330.2819824	0.2197265625	0.07629394531	0.6256103516
0.268	-30.51757813	17.08984375	-90.33203125	-5.310058594	-0.1831054688	-2.197265625	0	330.2819824	0.1800537109	0.1159667969	0.6896972656
0.27	-19.53125	15.25878906	-113.5253906	-4.577636719	-0.1831054688	-1.46484375	0	330.2819824	0.2502441406	0.1220703125	0.9185791016
0.272	-18.31054688	14.6484375	-130.6152344	-3.845214844	-0.3662109375	-0.9155273438	0	330.2819824	0.2990722656	0.08239746094	1.193237305
0.274	-18.31054688	9.765625	-137.9394531	-2.380371094	-0.1831054688	-1.281738281	0	330.2819824	0.2624511719	0.02136230469	1.324462891
0.276	-21.97265625	6.713867188	-133.0566406	-2.014160156	-0.1831054688	-1.647949219	0	330.2819824	0.2227783203	-0.03662109375	1.275634766
0.278	-26.85546875	10.37597656	-126.953125	-2.014160156	-0.1831054688	-2.197265625	0	330.2819824	0.1953125	-0.1495361328	1.10168457
0.28	-34.1796875	14.03808594	-118.4082031	-2.9296875	-0.3662109375	-2.014160156	0	330.2819824	0.2166748047	-0.2197265625	0.9613037109
0.282	-39.0625	15.86914063	-108.6425781	-4.211425781	-0.1831054688	-1.831054688	0	330.2819824	0.3021240234	-0.2105712891	0.9002685547
