"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.302,-252.6855469,261.2304688,711.6699219,-83.67919922,-78.55224609,1.281738281,-4.577636719,132.5280762,0.5035400391,-0.09460449219,0.7873535156
0.304,-258.7890625,255.1269531,706.7871094,-83.86230469,-78.55224609,0.5493164063,-4.577636719,132.5390625,0.68359375,-0.01831054688,1.016235352
0.306,-261.2304688,257.5683594,703.125,-84.22851563,-78.91845703,-0.3662109375,-4.577636719,132.4841309,0.6958007813,-0.04577636719,1.132202148
0.308,-261.2304688,261.8408203,708.0078125,-84.41162109,-79.28466797,-1.647949219,-4.577636719,132.4401855,0.5462646484,-0.146484375,1.040649414
0.31,-257.5683594,258.7890625,712.890625,-84.41162109,-79.83398438,-2.014160156,-4.577636719,132.3742676,0.3540039063,-0.2319335938,0.9185791016
0.312,-241.6992188,248.4130859,712.890625,-84.41162109,-80.56640625,-1.647949219,-4.577636719,132.3522949,0.2380371094,-0.1312255859,0.8605957031
0.314,-223.3886719,244.140625,711.6699219,-85.14404297,-81.48193359,-1.281738281,-4.577636719,132.286377,0.1281738281,-0.06103515625,0.9887695313
0.316,-208.7402344,245.3613281,706.7871094,-85.51025391,-82.21435547,-1.647949219,-4.577636719,132.2644043,-0.006103515625,-0.0732421875,1.159667969
0.318,-192.8710938,244.140625,698.2421875,-84.04541016,-82.58056641,-2.380371094,-4.577636719,132.2753906,-0.2075195313,-0.05187988281,1.138305664
0.32,-170.8984375,237.4267578,688.4765625,-82.94677734,-82.94677734,-2.380371094,-4.577636719,132.2753906,-0.3112792969,0.048828125,1.04675293
0.322,-147.7050781,236.8164063,684.8144531,-82.94677734,-82.94677734,-2.380371094,-4.577636719,132.2753906,-0.341796875,0.09765625,1.10168457
0.324,-140.3808594,233.7646484,686.0351563,-83.67919922,-82.94677734,-3.662109375,-4.577636719,132.2644043,-0.4028320313,0.09155273438,1.266479492
0.326,-153.8085938,231.9335938,690.9179688,-85.14404297,-82.58056641,-5.493164063,-4.577636719,132.286377,-0.4150390625,0.05798339844,1.327514648
0.328,-172.1191406,234.375,697.0214844,-85.87646484,-82.21435547,-7.32421875,-4.577636719,132.3632813,-0.3509521484,-0.04272460938,1.235961914
0.33,-190.4296875,233.1542969,704.3457031,-85.32714844,-81.84814453,-8.239746094,-4.547119141,132.4182129,-0.1739501953,-0.1098632813,0.9674072266
0.332,-209.9609375,223.9990234,709.2285156,-84.22851563,-81.48193359,-7.873535156,-4.516601563,132.4951172,0,0,0.7751464844
0.334,-231.9335938,227.0507813,715.3320313,-84.04541016,-80.93261719,-6.591796875,-4.913330078,132.5280762,0.08239746094,0.01831054688,0.8605957031
0.336,-249.0234375,239.8681641,721.4355469,-83.49609375,-80.56640625,-5.310058594,-2.563476563,132.5610352,0.048828125,-0.09155273438,0.9368896484
0.338,-260.0097656,248.4130859,720.2148438,-81.66503906,-80.38330078,-3.112792969,1.037597656,132.6269531,0.07629394531,-0.1159667969,0.8941650391
0.34,-262.4511719,250.8544922,714.1113281,-79.28466797,-80.20019531,-0.732421875,0.8239746094,132.6269531,0.2502441406,-0.06408691406,0.7446289063
0.342,-262.4511719,255.7373047,712.890625,-78.18603516,-80.20019531,1.098632813,0.8239746094,132.6159668,0.5065917969,-0.05798339844,0.7293701172
0.344,-260.0097656,257.5683594,714.1113281,-78.36914063,-80.20019531,2.746582031,0.8239746094,132.5500488,0.7049560547,-0.08544921875,0.8972167969
